metric,component,name,shapley,shapley_lo,shapley_hi,shapley_p,loo,loo_p,aoi,aoi_p,n_seeds,shapley_p_holm
success,R1,goal reaching,0.006644444444444446,0.0017333333333333313,0.012916666666666668,0.0625,0.008000000000000007,0.0625,0.0,1.0,6,0.25
success,R2,distance shaping,0.40042222222222223,0.20896666666666666,0.5715888888888888,0.0625,0.8176666666666668,0.0625,0.248,0.5,6,0.25
success,R3,personal space,-0.0013833333333333382,-0.07872777777777779,0.10438333333333333,1.0,0.17166666666666666,0.125,0.0,1.0,6,1.0
success,R4,time-to-collision,-0.06616111111111111,-0.1507055555555556,-0.006203611111111279,0.1875,0.0043333333333333375,0.3125,0.0,1.0,6,0.375
success,R5,jerk / smoothness,0.6431444444444444,0.46255,0.8369666666666666,0.03125,0.9826666666666665,0.03125,0.48633333333333334,0.25,6,0.15625
collision,R1,goal reaching,-0.004488888888888889,-0.006933333333333333,-0.0017043055555556648,0.09375,-0.011333333333333334,0.0625,0.0,1.0,6,0.28125
collision,R2,distance shaping,0.014205555555555556,0.008205555555555556,0.020544444444444445,0.03125,0.018333333333333333,0.03125,0.014333333333333332,0.125,6,0.15625
collision,R3,personal space,-0.004544444444444446,-0.008522222222222223,0.0002277777777777777,0.15625,-0.006333333333333334,0.4375,0.0,1.0,6,0.3125
collision,R4,time-to-collision,-0.0026555555555555555,-0.0051777777777777785,-0.0003055555555555556,0.1875,-0.0036666666666666675,0.5,0.0,1.0,6,0.3125
collision,R5,jerk / smoothness,0.01781666666666667,0.010233333333333332,0.02601666666666667,0.03125,0.019999999999999997,0.03125,0.016333333333333335,0.25,6,0.15625
min_separation,R1,goal reaching,-0.025597983578677364,-0.03520484781110574,-0.016550387001636756,0.03125,-0.0686594944075939,0.09375,0.0,1.0,6,0.15625
min_separation,R2,distance shaping,-0.44041070948984345,-0.6190016373584638,-0.2581200230279163,0.03125,-0.7688619954546079,0.03125,-0.3639320332265979,0.03125,6,0.15625
min_separation,R3,personal space,0.008519418618844032,-0.09346240239654084,0.08912250044471537,0.875,-0.12817937102586285,0.8125,-0.0006526529333736875,0.96875,6,0.875
min_separation,R4,time-to-collision,0.07859728872413267,0.023708654431015132,0.14886665565818014,0.03125,-0.0002632738744817176,1.0,0.017603956839635077,0.28125,6,0.15625
min_separation,R5,jerk / smoothness,-0.6209938026633237,-0.7896924713550985,-0.4526056230367414,0.03125,-0.8896291209505184,0.03125,-0.5171115242180124,0.03125,6,0.15625
intrusion_count,R1,goal reaching,0.09482777777777777,0.04522222222222224,0.13928333333333334,0.0625,0.22766666666666668,0.125,0.0,1.0,6,0.25
intrusion_count,R2,distance shaping,0.33724444444444446,0.16011111111111112,0.4810777777777779,0.0625,0.669,0.03125,0.22266666666666668,0.09375,6,0.25
intrusion_count,R3,personal space,-0.07156111111111109,-0.21624999999999997,0.08877374999999892,0.375,0.0020000000000000386,1.0,-0.024333333333333332,0.21875,6,0.375
