pair,i,j,interaction,lo,hi,p,kind,p_holm
R4xR5,R4,R5,-0.10880555555555553,-0.20488888888888887,-0.03147222222222217,0.03125,substitutes,0.3125
R1xR3,R1,R3,-0.009305555555555524,-0.019916666666666628,-0.0032222222222222006,0.03125,substitutes,0.3125
R1xR5,R1,R5,2.7777777777820978e-05,-0.014972222222222163,0.010333333333333387,1.0,indistinguishable,1.0
R1xR4,R1,R4,0.002916666666666691,-0.0019166666666666679,0.007750000000000037,0.4375,indistinguishable,1.0
R2xR3,R2,R3,0.01047222222222228,-0.1964444444444444,0.2181388888888889,0.65625,indistinguishable,1.0
R1xR2,R1,R2,0.014361111111111144,-8.333333333330334e-05,0.0376666666666667,0.1875,indistinguishable,1.0
R3xR4,R3,R4,0.04819444444444446,-0.06591666666666661,0.18639513888888837,0.65625,indistinguishable,1.0
R2xR4,R2,R4,0.062027777777777814,-0.0542222222222222,0.19105555555555556,0.5,indistinguishable,1.0
R3xR5,R3,R5,0.1223055555555556,-0.024194444444444397,0.28130555555555553,0.25,indistinguishable,1.0
R2xR5,R2,R5,0.48280555555555554,0.20475000000000002,0.7600833333333332,0.0625,complements,0.5
