w_jerk,config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
0.0,R12345,0,0.0,0.0,1.0,25.0,1.5153661681769182,0.1,0.1,0.001,0.8979516496453841,1.3234893751636034,0.8838859012477612,0.48491717381661387,0.17724083789353284,-0.010708611516911888,,,,0.1045841210168732,250
0.0,R12345,1,0.0,0.0,1.0,25.0,3.1060414633319815,0.116,0.116,0.0011600000000000002,0.22303055734699107,1.599995448684281,0.6456843394905679,0.993933268266234,0.9886533607633807,-0.24482220201621502,,,,-0.8145639526346119,250
0.0,R12345,2,0.0,0.0,1.0,25.0,1.814331975603339,0.152,0.152,0.00152,1.327181150267764,1.449683919422348,0.8584112619377892,0.5805862321930685,0.35875813127741296,-0.010386214958748237,,,,0.13271070066722962,250
0.002,R12345,0,0.0,0.0,1.0,25.0,3.115432029181155,0.104,0.104,0.0010400000000000001,0.4014756294865756,1.5267191065655201,0.9907274419592479,0.9969382493379697,0.48293200592410973,0.02080482163388908,,,,0.345888325182349,250
0.002,R12345,1,0.0,0.0,1.0,25.0,3.1134714434372053,0.168,0.168,0.00168,0.10323433195883748,1.574325372450848,0.9999933586434754,0.9963108618999056,0.9260026491759129,-0.1801831379343628,,,,-0.5628021353597638,250
0.002,R12345,2,0.0,0.0,1.0,25.0,3.1201823579886083,0.168,0.168,0.00168,0.38444783177679287,1.5478219646078042,0.9914909662813709,0.9984583545563546,0.4676516155173912,0.026911365795477336,,,,0.3981515167817115,250
0.005,R12345,0,0.0,0.0,1.0,25.0,3.110413644626453,0.144,0.144,0.0014399999999999999,0.3586956475035536,1.4335354522953676,0.9914801180982753,0.995332366280465,0.4320065095005612,0.04948473406391863,,,,0.42917560070322613,250
0.005,R12345,1,0.0,0.0,1.0,25.0,3.1088117309838044,0.208,0.208,0.0020800000000000003,0.10894130684641663,1.5333567407474111,0.9997148664331945,0.9948197539148175,0.9188754842319472,-0.169871725414397,,,,-0.5168300974796136,250
0.005,R12345,2,0.0,0.0,1.0,25.0,3.1104477727940893,0.128,0.128,0.00128,0.32123885226818016,1.5409520919206092,0.9948048337818323,0.9953432872941086,0.4290969972741752,-0.0005037990369322357,,,,0.2703506481515133,250
0.01,R12345,0,0.988,0.02,0.0,15.706,1.9479790113099904,0.58,0.58,0.0115648865613612,0.3908236268516448,0.7584320973352446,0.9887964456820139,0.9910016574696251,0.526556764654696,0.12392973546213133,15.757085020242915,1.9544509990099885,0.3844186934707425,1.4647904790371309,250
0.01,R12345,1,0.0,0.0,1.0,25.0,3.1130109588884496,0.208,0.208,0.0020800000000000003,0.17063807417622023,1.5246130933723776,0.9971908471662523,0.9961635068443039,0.7831778409511939,-0.13122937399909393,,,,-0.2620203825103158,250
0.01,R12345,2,0.0,0.0,1.0,25.0,3.115063750419026,0.16,0.16,0.0016,0.21396609680492765,1.5309416177615922,0.9984262950319431,0.9968204001340885,0.49043298324449297,-0.027263077645137676,,,,0.28427144987488284,250
0.02,R12345,0,0.94,0.06,0.0,15.919,1.9832730032650836,0.952,0.96,0.018773047611943358,0.46533587628785517,0.6566170145435549,0.9853622819571283,0.9964950323057202,0.5275925940088548,0.12094468336148338,16.358510638297872,2.038008079582877,0.44959697050270037,1.3582044818815084,250
0.02,R12345,1,0.996,0.008,0.0,15.852,1.9728239981192996,0.636,0.636,0.009841585003419095,0.3142744018553968,0.8294263366722346,0.9955055139548312,0.9953800372671876,0.5251449852615238,0.12487509035442847,15.867469879518072,1.9747652087393135,0.31447812466209046,1.5019738325770786,250
