set,order,dividend,p
{},0,0.0,1.0
{R1},1,0.0,1.0
{R2},1,0.248,0.5
{R3},1,0.0,1.0
{R4},1,0.0,1.0
{R5},1,0.48633333333333334,0.25
"{R1,R2}",2,0.032666666666666656,0.5
"{R1,R3}",2,0.0,1.0
"{R1,R4}",2,0.0,1.0
"{R1,R5}",2,0.008000000000000007,0.25
"{R2,R3}",2,-0.23199999999999998,0.5
"{R2,R4}",2,-0.13833333333333334,1.0
"{R2,R5}",2,0.2323333333333333,0.46875
"{R3,R4}",2,0.0,1.0
"{R3,R5}",2,0.00033333333333333365,1.0
"{R4,R5}",2,-0.165,0.75
"{R1,R2,R3}",3,-0.032666666666666656,0.5
"{R1,R2,R4}",3,0.014999999999999994,1.0
"{R1,R2,R5}",3,-0.03633333333333333,0.375
"{R1,R3,R4}",3,0.0,1.0
"{R1,R3,R5}",3,-0.0040000000000000036,0.5
"{R1,R4,R5}",3,-0.00366666666666667,0.75
"{R2,R3,R4}",3,0.12233333333333334,1.0
"{R2,R3,R5}",3,0.24033333333333332,0.0625
"{R2,R4,R5}",3,0.132,1.0
"{R3,R4,R5}",3,-0.158,1.0
"{R1,R2,R3,R4}",4,-0.014999999999999994,1.0
"{R1,R2,R3,R5}",4,0.03533333333333336,0.28125
"{R1,R2,R4,R5}",4,1.850371707708594e-17,1.0
"{R1,R3,R4,R5}",4,0.0010000000000000009,0.75
"{R2,R3,R4,R5}",4,0.20633333333333334,0.28125
"{R1,R2,R3,R4,R5}",5,0.007666666666666748,0.9375
