config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
R12345,0,0.986,0.016,0.0,13.043,1.6215240548909706,1.276,1.284,0.026056526774663864,0.48869608562217504,0.5901465363240177,0.9585826598363411,0.9944327222087976,0.6265478501428565,0.1495254514261718,13.126774847870182,1.632227935827889,0.4604802007488377,1.4444173204832278,500
R12345,1,0.98,0.022,0.0,13.4735,1.6796087443978196,1.31,1.328,0.024167744764642514,0.5193398960339605,0.5873730175565245,0.977306234415167,0.9971340271688742,0.6136774401337542,0.1448221173507583,13.554591836734694,1.6897760201999406,0.5190781245830423,1.420840094995082,500
R12345,2,0.982,0.018,0.0,12.932,1.6125831693227115,1.438,1.452,0.030602414519442633,0.5446896545986536,0.5522288981858169,0.9526502922878554,0.9975352729685467,0.6280921903942798,0.14996209052252857,13.066700610997964,1.6293955960157902,0.5112883575027186,1.433221509109378,500
R12345,3,0.976,0.028,0.0,14.874,1.8526973869663574,0.892,0.898,0.017330062606675144,0.49289520197944825,0.6951017709771813,0.9794031542589574,0.9964062241736843,0.5580703763802367,0.1315208215151048,15.011782786885245,1.8699137811999058,0.47691876371618874,1.4237866277887297,500
R12345,4,0.984,0.022,0.0,14.299,1.7801068500967918,0.912,0.916,0.019331058945673302,0.5038358239661295,0.6492217746597875,0.9761199885262369,0.9956744391984819,0.5790845824498771,0.1363567470057208,14.41260162601626,1.7942806507681803,0.48685141169268287,1.433471323832071,500
R12345,5,0.988,0.016,0.0,13.3515,1.6615816655505347,0.888,0.894,0.016403959624668396,0.4538559796418723,0.6398260374520625,0.9747787139926429,0.9955756840920874,0.6164440837507131,0.14666461940724748,13.40080971659919,1.6677821501014112,0.4531396206645272,1.45096169290535,500
R1234,0,0.0,0.0,1.0,25.0,1.6045800880846428,0.138,0.144,0.00138,1.300120175856427,1.5644708601904722,0.8512961778881845,0.5134656281870857,0.2945012715148456,-0.02778844476312741,,,,0.07735853339641745,500
R1234,1,0.0,0.0,1.0,25.0,3.110201082629106,0.17,0.174,0.0017000000000000001,0.36366925176372045,1.6453426305507242,0.5614993205377536,0.995264346441314,0.9806508089255382,-0.24314701554542403,,,,-0.8081624068935715,500
R1234,2,0.0,0.0,1.0,25.0,2.9764196710460045,0.172,0.178,0.0017200000000000002,0.4858594648416971,1.5255488382564153,0.9555271384000409,0.9524542947347214,0.4667866443069172,0.04604762425200515,,,,0.41181221301020526,500
R1234,3,0.0,0.0,1.0,25.0,2.3240889329742056,0.15,0.156,0.0015,1.7047042325397284,1.4711934789325791,0.8977628018498903,0.7437084585517459,0.3102258327374783,-0.006409084979071997,,,,0.161069822514699,500
